iD,N,mu,T,m,q,C2,err
0,50,0.0,1.025,-0.0018360000000000004,0.00010583439999999999,3.3725058334959725,0.14272116442474067
0,50,0.6,1.1,-0.0006919999999999998,6.55528e-05,2.6722680584758143,0.14517217914924624
0,50,1.6,1.4,0.003116,8.0356e-05,2.5696376988506904,0.1610193517161599
0,50,1.2,1.625,-0.0015079999999999998,7.1388e-05,1.5731884069890412,0.1648434198064015
0,50,1.9,1.55,0.0023400000000000005,0.0001059384,2.67121451942537,0.16825793332967964
0,50,0.6,1.175,-0.004712,0.00018477919999999997,3.4937454980491527,0.15359590639535337
0,50,1.1,0.95,0.0053879999999999996,9.64984e-05,17.746836893527234,0.3675486987659349
0,50,0.9,1.55,0.0035159999999999996,0.00010620240000000001,1.6088225529535334,0.15515070106460876
0,50,0.6,0.725,-0.0014439999999999995,0.0001297272,5.197843619567278,0.15879595972632843
0,50,1.2,0.65,-0.000644,9.34968e-05,5.718638186272654,0.1798077467526273
0,50,1.0,0.5,-0.00156,7.50064e-05,15.42045248350634,0.3239533511377729
0,50,0.1,0.8,0.00018399999999999997,6.15248e-05,7.9812684838505765,0.16945538018563555
0,50,1.4,0.725,0.13009199999999999,0.0202903,31.18082056074508,60.59501897782866
0,50,0.1,0.875,0.0006799999999999997,0.0002973728,5.569226098390925,0.16469067886339292
0,50,2.0,1.1,0.037488,0.0014891712000000001,29.63735928832834,0.8331504148459546
0,50,1.8,1.325,-0.005155999999999999,0.00010217200000000001,4.4026716299562745,0.16872103111160314
0,50,1.8,2.0,0.0018520000000000001,0.00010647760000000003,1.8167068309831733,0.18093359495214623
0,50,1.7,1.85,0.002072,0.0001039728,1.7742875324996619,0.18104144793805874
0,50,1.1,1.925,-0.0007800000000000003,9.88792e-05,1.3631791952835144,0.18043488862791693
0,50,0.7,1.85,0.00014000000000000018,8.340720000000001e-05,1.375195807097112,0.17527472669396604
0,50,0.2,0.725,0.0012560000000000002,4.7297600000000006e-05,10.239720852095479,0.20597430473408038
0,50,1.5,0.95,0.0008159999999999999,4.1236800000000005e-05,10.462517952124609,0.24328201806496672
0,50,0.2,1.175,-1.2000000000000053e-05,0.00011645680000000003,2.2889205977076488,0.1442985380171374
0,50,0.4,1.7,0.0014080000000000004,6.83072e-05,1.537156897726615,0.16597820560872115
0,50,1.6,1.625,0.0013760000000000003,9.321440000000002e-05,1.6220329601907268,0.1656236419735613
0,50,0.2,1.1,-0.0011760000000000002,0.00016057280000000005,5.59415914978125,0.1750907945695979
0,50,1.9,1.775,-0.0032720000000000006,0.0001729312,2.2029682985649064,0.17875137090732493
0,50,0.4,1.775,0.0010080000000000002,7.90672e-05,1.416480074053516,0.16137282083787682
0,50,1.2,1.4,-0.0006,0.00011387360000000001,2.942532149893136,0.1590307820591817
0,50,1.5,1.925,0.0033480000000000003,9.862959999999998e-05,1.8074736023341906,0.1782124328877197
0,50,0.3,1.85,0.001048,0.0001068448,1.3628730775437423,0.1723148518786211
0,50,1.8,1.1,-0.00444,0.0001239152,7.013109352142254,0.18156470950844983
0,50,2.0,1.325,-0.004704,0.00010761120000000002,8.72977250142132,0.2182027332372724
0,50,1.3,1.85,0.002864,0.0001026848,1.3612532931543455,0.16792402158411848
0,50,2.0,2.0,-0.002884,4.7071200000000004e-05,2.4601255097483077,0.1910604915980829
0,50,0.5,0.875,0.0046,0.00017349279999999997,6.050101747798045,0.1595478612389246
0,50,1.0,0.725,-0.002716,6.798e-05,7.639122052964992,0.17537748262973796
0,50,0.5,0.8,-0.002104,6.47584e-05,4.6794213429597775,0.15904939095179624
0,50,1.4,0.5,0.005504,0.00013897440000000002,19.571774362044376,2.714214864680653
0,50,1.6,0.65,-0.0015160000000000002,7.37544e-05,16.36771703566178,0.3130179641572868
0,50,1.4,1.025,-0.001204,0.00010576240000000001,6.212594662734063,0.1780398650932543
0,50,1.7,0.575,-0.021128000000000004,0.0007536304000000001,20.091579274607394,0.8068535778846362
0,50,1.9,0.875,0.00024000000000000014,3.1759999999999994e-05,13.070478057625145,0.225899069816934
0,50,0.1,1.625,-0.0018080000000000001,0.0001150336,1.543232839940116,0.15857865652796688
0,50,0.5,1.25,-0.00116,0.000100224,2.1649681993539773,0.14953726789200297
0,50,0.8,1.475,-0.003308,9.2204e-05,1.7142931156035508,0.15442528388334523
0,50,0.8,1.4,-0.002084,0.0001018552,1.8835731589835134,0.15302712301481364
0,50,1.1,1.475,-0.00037199999999999977,7.6028e-05,1.9867694755356118,0.15258535136408835
0,50,0.7,1.025,0.00040400000000000006,0.00010386319999999999,4.130511644514642,0.15380141509241183
0,50,1.3,0.575,0.012935999999999998,0.0002242816,23.63770614050044,22.245836388765326
0,50,0.9,1.925,0.000496,0.00010736159999999999,1.3606264625834297,0.17942713541492666
0,50,0.4,0.95,0.0008280000000000002,9.703119999999999e-05,4.429557999322895,0.15419596945132183
0,50,1.0,1.025,-0.00362,6.8316e-05,5.302304734484682,0.16602295990515298
0,50,0.0,1.1,-0.000736,4.29056e-05,2.4852042938291685,0.1434339596127359
0,50,0.3,1.025,-0.00024399999999999994,0.0001061352,2.5585963064184742,0.13635722753606214
0,50,1.5,1.475,-0.0028920000000000005,9.348239999999998e-05,1.8722392180256486,0.1577286609171841
0,50,0.8,0.65,-0.0034719999999999994,0.0001695856,17.623602670685578,0.2771328680194065
0,50,0.4,2.0,0.000716,0.0001044776,1.3229719437502758,0.17659614087242373
0,50,0.1,1.25,0.0010599999999999997,6.43976e-05,2.1050945599579105,0.1471046540444364
0,50,0.0,0.8,8.799999999999997e-05,7.29808e-05,4.01470897190211,0.14959145261334145
0,50,0.5,1.625,-0.0005080000000000002,9.078159999999998e-05,1.5391544969795161,0.15778005936469636
0,50,1.5,1.175,-0.00226,6.92392e-05,12.41994216325817,0.2370259648618777
0,50,0.3,1.925,0.002136,0.0001058688,1.373470456963949,0.18247901363446933
0,50,1.9,0.575,0.8618680000000001,0.8915915096000002,0.05938762088664573,157.4233310712725
0,50,1.7,0.875,-0.0015239999999999997,5.568399999999999e-05,10.877425134438107,0.21640468799381282
0,50,0.2,0.65,-0.0005319999999999999,5.256400000000001e-05,8.294025372081906,0.19738050002611668
0,50,0.6,1.475,0.0018759999999999998,0.00014793999999999997,1.8375566934385008,0.15680125001513195
0,50,0.0,1.7,0.0018440000000000002,0.0001246008,1.5050402521889632,0.16251199593912677
0,50,0.6,1.4,0.0022119999999999996,8.61816e-05,2.3096750861971778,0.16458019794129386
0,50,1.4,1.7,0.001088,7.43984e-05,1.4606279637067177,0.1651633240771946
0,50,0.9,1.025,-0.002108,0.0001419368,3.3264177423294488,0.14349095470456377
0,50,0.7,1.925,-0.0018960000000000001,0.0001155872,1.3394450161728246,0.1679370369916652
0,50,1.1,1.175,0.0009000000000000002,6.424879999999999e-05,2.7232063661441,0.156131997199605
0,50,1.0,1.7,-0.00234,0.00010101519999999998,1.6609680922439793,0.17017423545684274
0,50,0.2,1.4,-0.0015719999999999998,0.0001229816,1.653864657777566,0.14796691743401122
0,50,0.0,0.725,0.001392,7.237760000000002e-05,9.687275475857707,0.20383895387187773
0,50,0.2,1.475,0.005704,0.000137512,1.7358017875464384,0.17186635692378044
0,50,0.6,0.65,-0.005948000000000001,0.0002945224,11.698592218402123,0.22489330517864076
0,50,1.3,0.875,0.00394,6.31448e-05,9.921084275238535,0.19334977374522705
0,50,2.0,1.625,0.001132,7.26072e-05,5.244382083277669,0.20306476111584704
0,50,1.8,1.4,-0.007312,0.00013513279999999997,4.169857858827269,0.17977404069236502
0,50,0.8,1.1,-0.000712,9.90896e-05,4.882991956017446,0.17806438054506663
0,50,1.3,1.775,-0.0004,7.924e-05,1.5787487878408806,0.16765610471700215
0,50,0.1,0.5,-0.0013479999999999998,0.00024357199999999998,15.44673763112657,0.37564891340550094
0,50,1.7,1.55,0.0021799999999999996,8.296720000000001e-05,7.883821040734952,0.22320224644610265
0,50,1.0,0.8,-0.0005919999999999999,5.05008e-05,7.089544467722639,0.16773209292074934
0,50,0.8,1.175,-0.000828,7.17752e-05,2.069578136368259,0.14111047154781825
0,50,0.1,0.575,0.016392,0.0012287600000000002,19.133364947321173,1.0165992270786486
0,50,0.8,0.725,0.00043999999999999996,6.30064e-05,6.150756336457409,0.1783956101447538
0,50,0.1,1.325,-0.000744,7.6128e-05,2.1404798344272256,0.15212678809819577
0,50,0.7,1.55,0.0008960000000000001,0.000116816,1.5147115929084385,0.15302220327368396
0,50,2.0,0.65,-0.848472,0.838616352,0.120127920959988,187.7084368435573
0,50,1.6,1.325,-0.0010000000000000002,6.942879999999999e-05,3.056868882201985,0.16471698678033048
0,50,1.6,2.0,-0.0025440000000000003,0.000170944,1.3709292413723386,0.1812572694043379
0,50,1.9,1.85,-0.005691999999999999,0.000133252,1.5886125071035908,0.16427544534872346
0,50,1.2,1.1,0.001204,8.966639999999999e-05,2.6957614056473203,0.1458812721157827
0,50,1.0,1.25,-0.001312,8.157439999999999e-05,2.4569088722976278,0.1568871741892359
0,50,0.9,1.85,0.00046800000000000015,0.000131036,1.5024009158382632,0.17132686557197943
0,50,0.5,1.325,-0.002748,9.313519999999998e-05,2.0771644009374572,0.14367058674283087
0,50,0.3,1.55,0.0028399999999999996,9.582559999999999e-05,1.573066055732247,0.1523385461567828
0,50,1.4,0.8,0.008876,0.0002065496,6.979822360673494,0.17733779794165277
0,50,0.0,0.65,-0.0006119999999999998,0.0002158952,13.066864830312683,0.2642412978928247
0,50,0.5,0.575,2.79999999999999e-05,3.80232e-05,16.732859326634845,0.35703469038151786
0,50,1.3,1.55,0.0038720000000000004,0.0001148096,1.8858182408518807,0.16267021057808878
0,50,0.0,1.625,-0.002335999999999999,0.00011542400000000001,1.5303003299098077,0.1685694494533108
0,50,1.8,1.625,-0.0024760000000000003,7.924879999999999e-05,2.0971639686413437,0.15894044424706824
0,50,2.0,1.4,0.009891999999999998,0.0001652264,15.357988498121664,0.3126602810352462
0,50,1.7,1.775,0.00024800000000000007,0.0001201808,1.8169617050069389,0.17805462654106374
0,50,0.5,0.5,-0.001144,0.0004468336,19.20756417833461,3.4201606864892793
0,50,1.4,1.25,0.005247999999999999,0.00011045600000000001,3.321931970751948,0.16699981368451938
0,50,1.2,2.0,-0.0039000000000000003,0.00011887439999999999,1.3516758426399185,0.17591017838233441
0,50,1.6,1.1,-0.004264,7.291039999999999e-05,19.44234082197059,0.41584923876790053
0,50,1.2,1.325,-0.006920000000000001,0.00011686080000000003,2.8740879875483993,0.1563687941536002
0,50,1.8,0.65,0.824144,0.8339007600000001,0.13545139772127027,270.73522667387874
0,50,0.2,1.325,-0.0008800000000000001,0.00012480800000000002,1.9138567269345028,0.14282013967571988
0,50,0.4,1.55,-0.0020239999999999998,8.95456e-05,1.84124416673747,0.15998716332048407
0,50,1.3,0.8,-0.0039759999999999995,9.280639999999999e-05,8.631153552705438,0.18011958258963276
0,50,0.2,0.575,-0.0015559999999999999,0.0001687176,7.840680035380263,0.20884409518889274
0,50,2.0,0.95,0.16046,0.026946052,30.734677545194554,1.116031693366676
0,50,1.4,1.55,0.0018120000000000005,0.00011278320000000001,1.8987890497864972,0.16151567805157735
0,50,0.2,0.5,0.0017359999999999997,0.00015984000000000001,8.713785122961943,0.20584575481985043
0,50,1.0,1.775,0.002412,0.0001199608,1.467672228491613,0.16390237219699197
0,50,0.0,1.55,0.000664,9.190720000000001e-05,1.5964855364158186,0.1644847756253974
0,50,2.0,1.925,-0.00392,5.5705600000000004e-05,3.22752045795448,0.19980495251425257
0,50,1.3,1.25,-0.0012960000000000003,0.00015528,2.0183364218469255,0.14635408904224473
0,50,1.5,2.0,-0.0002359999999999997,6.93576e-05,1.48695487802253,0.1886771930794291
0,50,1.1,1.1,-0.002056,8.17488e-05,3.585277732580094,0.16066919181051342
0,50,1.5,1.325,0.007088,0.0001456368,4.947070332781009,0.1829822292330255
0,50,1.9,0.725,0.8670200000000001,0.818571084,0.1122291927751759,463.2403072354729
0,50,0.9,1.775,-5.200000000000017e-05,9.767120000000001e-05,1.5048826651976186,0.17021250701106735
0,50,0.6,0.5,0.0005600000000000001,0.0002517856,9.93661189180046,0.23075328403081888
0,50,1.4,1.775,0.0016199999999999997,7.76024e-05,2.512731796928132,0.18366704229908754
0,50,1.0,1.55,-0.001772,7.81112e-05,1.5976693789005048,0.1593289812016339
0,50,0.9,1.7,-0.003468,9.209520000000002e-05,1.5166192301590127,0.16370402675892673
0,50,1.7,0.8,0.049560000000000014,0.0030906160000000005,23.695674383353936,0.9138071822434333
0,50,0.6,0.575,0.001088,0.00047945919999999996,16.106491836991985,0.3401859840984451
0,50,1.8,0.95,0.0012919999999999997,4.12968e-05,14.78125449808636,0.25441145598565035
0,50,0.6,1.325,0.0011439999999999998,6.348640000000001e-05,2.03749847767742,0.14446198571742921
0,50,0.0,0.575,-0.00043599999999999986,0.00016370960000000002,9.084147795220023,0.23226164181285072
0,50,0.8,0.8,0.001032,4.66848e-05,5.471949175248126,0.15278726243760457
0,50,1.9,0.5,-0.8883199999999999,0.9334449280000001,0.03533269362941815,49.37452804889178
0,50,0.8,0.875,-0.0001720000000000003,5.128560000000001e-05,3.88284059484024,0.14282337560905173
0,50,1.1,1.325,-0.004928,0.00014671680000000002,1.8249491360658119,0.14941335156764848
0,50,1.1,2.0,-0.0028440000000000006,0.00013252560000000002,1.336796452528674,0.18273821429909543
0,50,1.5,1.1,-0.00412,8.85584e-05,3.059773981952481,0.1550722815548201
0,50,1.7,1.25,-0.005516,9.006479999999999e-05,8.556958701537171,0.19992711511341013
0,50,1.8,1.925,-0.005396000000000001,0.0001182584,2.2757963312845924,0.18665050751972692
0,50,1.6,1.175,0.010356,0.00015044399999999998,20.142287504418583,0.4001210286670706
0,50,1.9,1.025,0.0076040000000000005,8.5956e-05,21.440782418342977,0.4932439900276949
0,50,2.0,1.475,0.001592,0.0001096176,4.329723986508332,0.17998202074314015
0,50,1.7,1.7,0.004112000000000001,8.984319999999999e-05,1.687150765026407,0.16184906953240433
0,50,0.5,1.4,-0.0030359999999999996,0.0001175176,1.8161059825851729,0.15462582927107926
0,50,0.5,1.475,-0.002384,6.77776e-05,2.102636900943813,0.1624083776524986
0,50,0.8,1.25,-0.00033600000000000004,7.90944e-05,2.144439603194369,0.13613486352425896
0,50,0.1,0.65,0.00015199999999999995,4.02032e-05,13.61702047439842,0.22901339753297978
0,50,1.4,0.875,0.003812,0.00011922479999999997,8.139518440043831,0.18444663324077604
0,50,0.9,0.95,-0.004240000000000001,9.37632e-05,5.622532528396757,0.1664970177581591
0,50,0.0,1.475,-0.0003720000000000001,5.2788000000000003e-05,1.659294009134334,0.15189160268349625
0,50,1.2,1.175,0.0008479999999999996,7.9504e-05,4.550580616590773,0.1702255881059083
0,50,0.4,1.925,0.001052,8.80232e-05,1.3216023212175272,0.181517764095855
0,50,0.8,1.625,0.0016799999999999999,0.00011256320000000001,1.5417578258837779,0.15967929535699724
0,50,1.0,0.875,-0.002284,0.000113172,5.025222773455944,0.1503573867178991
0,50,0.9,2.0,-0.0018239999999999994,9.777280000000001e-05,1.319116731661426,0.18243945775669296
0,50,0.5,0.65,0.000608,3.930879999999999e-05,10.467890348962937,0.18923303158634858
0,50,0.1,1.475,0.0004640000000000001,7.30208e-05,1.6071333665888057,0.15849683352820648
0,50,0.1,1.4,-0.00045200000000000004,9.3764e-05,2.0705943173131045,0.14860364304690246
0,50,1.3,1.7,0.0008480000000000001,9.268e-05,1.6164365517598265,0.16467342079094321
0,50,1.8,1.475,0.01154,0.00022199440000000002,6.907544374792318,0.2007056839175306
0,50,1.0,2.0,-0.000544,6.67264e-05,1.2972749002388013,0.17740351161317988
0,50,1.4,1.1,0.006184000000000002,0.00014386559999999998,5.072912706206617,0.17637937422289085
0,50,0.9,0.875,0.001456,6.152000000000001e-05,5.578455727527669,0.15629640323771132
0,50,1.0,1.325,-0.0027080000000000003,0.00010780720000000001,2.1365548462625226,0.15214090646407888
0,50,1.9,1.925,0.006936,0.00010841279999999998,2.926413784234029,0.19697850313399995
0,50,1.6,1.25,0.003336,9.569760000000002e-05,3.832792310244299,0.16085344176166314
0,50,0.9,0.8,0.0023839999999999994,7.00272e-05,3.785762350817377,0.1396167119653657
0,50,1.8,0.5,-0.8592359999999999,0.854081716,0.09612111488675901,370.44971875043905
0,50,2.0,0.725,0.770496,0.7440277984000001,0.2829866670559767,437.19733032635673
0,50,1.9,0.95,0.076788,0.006529207200000001,28.778777051238386,0.8099965121029398
0,50,1.6,0.8,-0.547296,0.43234912000000003,4.635033756407345,97.61429284661698
0,50,0.8,1.7,0.0037719999999999997,9.80968e-05,1.4582578201721645,0.16783168975621074
0,50,0.7,0.575,0.060840000000000005,0.0079952448,24.800763349708426,56.760455715256676
0,50,0.7,1.325,-0.0005560000000000002,9.220080000000002e-05,1.6706038997280825,0.1449067322750067
0,50,0.1,1.55,0.000536,0.0001180528,1.5758529648083313,0.16052873963508968
0,50,1.1,1.55,0.0028400000000000005,0.00011781920000000002,1.6785039297017357,0.16388636302342782
0,50,0.8,1.775,0.001596,9.578959999999999e-05,1.4771044169395173,0.16829082312535937
0,50,1.5,1.775,0.001668,8.466639999999999e-05,1.8895970591623865,0.17130692217592702
0,50,0.7,0.5,-0.0032519999999999997,0.00012970960000000003,15.370323429504479,3.196455941900315
0,50,2.0,0.5,-0.934384,0.9024919103999999,0.07254074043940188,68.54845633687164
0,50,1.8,0.725,-0.941048,0.8948183775999997,0.041798894751450426,887.5916387487582
0,50,0.0,1.25,0.0011120000000000001,0.00011649759999999998,1.9582697577393104,0.149990291539159
0,50,1.2,1.25,0.0002279999999999998,6.76232e-05,2.2936453252156888,0.15211288334788511
0,50,1.4,1.325,0.0036360000000000003,8.33752e-05,2.372912657842441,0.15818187966103392
0,50,1.4,2.0,0.00019599999999999997,8.476560000000001e-05,1.3776601401972253,0.1806077650129673
0,50,1.0,1.1,0.002607999999999999,8.88288e-05,4.645027574578026,0.16471371733976423
0,50,1.1,1.775,-0.00218,0.0001344472,1.3957735141066054,0.16696002226992657
0,50,0.3,0.5,0.0009359999999999998,0.0001028304,21.23010346105605,0.5070954284871165
0,50,1.5,1.55,0.0032600000000000003,9.233999999999999e-05,2.4116172847798434,0.16995992107450186
0,50,0.3,1.325,-0.0019519999999999995,6.948e-05,1.969109001444959,0.151071551550065
0,50,0.5,1.55,0.002004,9.756559999999999e-05,1.4874553809462707,0.14767539404070962
0,50,1.2,0.8,0.0014399999999999999,8.06016e-05,9.97483474345396,0.17846336367409957
