iD,N,mu,T,tau,err
0,50,1.8,2.0,0.4277767079425701,0.18093359495214623
0,50,1.7,1.85,0.4263360935579431,0.18104144793805874
0,50,1.1,1.925,0.4325972993453436,0.18043488862791693
0,50,0.7,1.85,0.42738541251400414,0.17527472669396604
0,50,0.2,0.725,0.43599633141025895,0.20597430473408038
0,50,1.5,0.95,0.43990425592550914,0.24328201806496672
0,50,0.2,1.175,0.429971651341451,0.1442985380171374
0,50,0.4,1.7,0.42863537016584163,0.16597820560872115
0,50,1.6,1.625,0.4315223176993245,0.1656236419735613
0,50,0.2,1.1,0.4298392583637757,0.1750907945695979
0,50,1.9,1.775,0.4327887453672788,0.17875137090732493
0,50,0.4,1.775,0.42898002853232725,0.16137282083787682
0,50,1.2,1.4,0.42968561365810276,0.1590307820591817
0,50,1.5,1.925,0.4275743385316973,0.1782124328877197
0,50,0.3,1.85,0.4277847537174534,0.1723148518786211
0,50,1.8,1.1,0.4279836529749266,0.18156470950844983
0,50,2.0,1.325,0.4341168082845319,0.2182027332372724
0,50,1.3,1.85,0.4304579223546924,0.16792402158411848
0,50,2.0,2.0,0.42760128568890876,0.1910604915980829
0,50,0.5,0.875,0.4272446210593352,0.1595478612389246
0,50,1.0,0.725,0.4230074749895363,0.17537748262973796
0,50,0.5,0.8,0.42946880502128,0.15904939095179624
0,50,1.4,0.5,7.853752179025198,2.714214864680653
0,50,1.6,0.65,0.5015821116802137,0.3130179641572868
0,50,1.4,1.025,0.42822902624228115,0.1780398650932543
0,50,1.7,0.575,1.1810972117554543,0.8068535778846362
0,50,1.9,0.875,0.445681595105503,0.225899069816934
0,50,0.1,1.625,0.4293295148039918,0.15857865652796688
0,50,0.5,1.25,0.4285619312954157,0.14953726789200297
0,50,0.8,1.475,0.4297521920281614,0.15442528388334523
0,50,0.8,1.4,0.4292408074871474,0.15302712301481364
0,50,1.1,1.475,0.4268580698631629,0.15258535136408835
0,50,0.7,1.025,0.4300242141752291,0.15380141509241183
0,50,1.3,0.575,17.617197468313382,22.245836388765326
0,50,0.9,1.925,0.4316687674965973,0.17942713541492666
0,50,0.4,0.95,0.42358759893282405,0.15419596945132183
0,50,1.0,1.025,0.42256403274053783,0.16602295990515298
0,50,0.0,1.1,0.42637711551043145,0.1434339596127359
0,50,0.3,1.025,0.43063204418771994,0.13635722753606214
0,50,1.5,1.475,0.42753012115587546,0.1577286609171841
0,50,0.8,0.65,0.5494245733617802,0.2771328680194065
0,50,0.4,2.0,0.4301991092911043,0.17659614087242373
0,50,0.1,1.25,0.42981847265532175,0.1471046540444364
0,50,0.0,0.8,0.42877526078576184,0.14959145261334145
0,50,0.5,1.625,0.4301745612868908,0.15778005936469636
0,50,1.5,1.175,0.43092327308860456,0.2370259648618777
0,50,0.3,1.925,0.42982705660399945,0.18247901363446933
0,50,1.9,0.575,5871.738764121606,157.4233310712725
0,50,1.7,0.875,0.4345671977938346,0.21640468799381282
0,50,0.2,0.65,0.42882052185836317,0.19738050002611668
0,50,0.6,1.475,0.42967958045742927,0.15680125001513195
0,50,0.0,1.7,0.4258066294202741,0.16251199593912677
0,50,0.6,1.4,0.42572691101933074,0.16458019794129386
0,50,1.4,1.7,0.42565275003792935,0.1651633240771946
0,50,0.9,1.025,0.4264273119802963,0.14349095470456377
0,50,0.7,1.925,0.4260490198460814,0.1679370369916652
0,50,1.1,1.175,0.42736205416806705,0.156131997199605
0,50,1.0,1.7,0.42656978222534786,0.17017423545684274
0,50,0.2,1.4,0.4268627135346157,0.14796691743401122
0,50,0.0,0.725,0.4231081354158478,0.20383895387187773
0,50,0.2,1.475,0.4270894819903646,0.17186635692378044
0,50,0.6,0.65,0.4629687874139178,0.22489330517864076
0,50,1.3,0.875,0.43071506691968464,0.19334977374522705
0,50,2.0,1.625,0.42810498977901795,0.20306476111584704
0,50,1.8,1.4,0.42531148961433424,0.17977404069236502
0,50,0.8,1.1,0.4263019544393916,0.17806438054506663
0,50,1.3,1.775,0.42611963269288206,0.16765610471700215
0,50,0.1,0.5,0.7238784439074603,0.37564891340550094
0,50,1.7,1.55,0.4339067857646408,0.22320224644610265
0,50,1.0,0.8,0.42737357923033276,0.16773209292074934
0,50,0.8,1.175,0.4275664265802959,0.14111047154781825
0,50,0.1,0.575,4.916507127685637,1.0165992270786486
0,50,0.8,0.725,0.4230218450266406,0.1783956101447538
0,50,0.1,1.325,0.425421790389543,0.15212678809819577
0,50,0.7,1.55,0.42812881594101115,0.15302220327368396
0,50,2.0,0.65,5604.841181619544,187.7084368435573
0,50,1.6,1.325,0.4288714189185105,0.16471698678033048
0,50,1.6,2.0,0.4306291646254615,0.1812572694043379
0,50,1.9,1.85,0.4265638852760161,0.16427544534872346
